id,type
ОРГ1-02649,0
ОРГ2-05929,0
ОРГ2-05859,0
ОРГ1-00279,3
ОРГ2-01613,1
ОРГ2-05171,0
ОРГ1-01873,2
ОРГ1-01627,2
ОРГ1-01851,2
ОРГ1-02815,2
ОРГ1-01674,1
ОРГ1-00571,0
ОРГ1-02494,0
ОРГ1-02773,2
ОРГ1-01590,3
ОРГ2-01825,2
ОРГ1-00963,0
ОРГ1-01464,2
ОРГ2-00209,2
ОРГ1-01336,2
ОРГ1-02028,2
ОРГ1-02705,0
ОРГ1-01342,0
ОРГ1-01624,0
ОРГ1-02723,2
ОРГ2-06471,2
ОРГ2-00800,0
ОРГ1-02042,0
ОРГ1-01676,2
ОРГ1-01714,2
ОРГ1-00147,1
ОРГ1-00781,2
ОРГ1-02846,1
ОРГ1-03037,0
ОРГ1-01220,2
ОРГ1-02180,2
ОРГ1-01010,0
ОРГ1-02527,2
ОРГ1-00831,1
ОРГ1-00901,3
ОРГ1-02873,2
ОРГ1-00150,2
ОРГ1-02802,2
ОРГ2-07167,2
ОРГ1-00419,0
ОРГ1-01572,2
ОРГ1-01589,2
ОРГ1-03104,3
ОРГ1-00706,3
ОРГ1-02606,3
ОРГ1-02856,2
ОРГ2-05623,1
ОРГ2-06643,2
ОРГ1-00420,2
ОРГ1-00639,0
ОРГ1-01754,0
ОРГ1-02655,2
ОРГ1-02702,2
ОРГ1-01632,0
ОРГ1-02560,2
ОРГ1-02807,0
ОРГ1-00829,0
ОРГ1-01807,2
ОРГ1-02572,2
ОРГ2-05630,1
ОРГ1-01715,1
ОРГ2-00229,0
ОРГ1-01758,1
ОРГ1-02937,2
ОРГ2-01919,2
ОРГ2-03356,0
ОРГ1-00970,0
ОРГ2-05975,0
ОРГ1-01660,2
ОРГ1-00659,2
ОРГ1-00261,0
ОРГ2-03873,2
ОРГ1-01506,2
ОРГ1-01716,2
ОРГ1-00824,0
ОРГ1-00566,0
ОРГ2-00868,0
ОРГ1-01846,1
ОРГ1-00437,0
ОРГ1-00525,2
ОРГ1-03075,2
ОРГ1-00560,2
ОРГ1-02189,2
ОРГ1-02884,2
ОРГ1-02922,3
ОРГ2-04616,1
ОРГ1-01239,0
ОРГ1-01109,0
ОРГ1-02635,2
ОРГ1-02137,2
ОРГ2-05628,1
ОРГ2-00905,2
ОРГ1-01922,1
ОРГ1-01101,0
ОРГ1-00324,2
ОРГ1-00972,0
ОРГ1-00515,0
ОРГ1-01060,0
ОРГ2-05324,1
ОРГ1-03049,2
ОРГ2-04009,1
ОРГ1-01838,0
ОРГ1-02122,2
ОРГ1-00807,2
ОРГ1-01808,0
ОРГ1-02224,2
ОРГ1-00596,2
ОРГ2-00591,1
ОРГ1-01598,2
ОРГ2-04680,1
ОРГ1-00816,2
ОРГ1-01894,0
ОРГ1-01062,0
ОРГ2-04134,2
ОРГ1-02696,0
ОРГ1-02195,0
ОРГ1-00662,2
ОРГ1-01412,2
ОРГ2-07861,0
ОРГ2-06061,2
ОРГ1-00792,3
ОРГ2-05463,1
ОРГ2-02092,0
ОРГ1-00966,2
ОРГ1-02788,2
ОРГ1-02250,2
ОРГ1-02860,2
ОРГ1-01921,0
ОРГ2-04515,2
ОРГ1-01880,2
ОРГ2-04767,1
ОРГ1-02178,2
ОРГ1-00696,2
ОРГ1-01853,0
ОРГ1-02931,2
ОРГ1-00707,2
ОРГ1-01875,1
ОРГ1-01059,1
ОРГ1-02555,2
ОРГ1-01151,2
ОРГ1-01356,0
ОРГ1-02128,2
ОРГ1-02638,0
ОРГ1-02916,0
ОРГ1-00358,2
ОРГ1-02027,2
ОРГ1-01742,0
ОРГ2-03598,1
ОРГ1-01837,0
ОРГ1-03009,3
ОРГ1-02652,2
ОРГ1-02165,2
ОРГ1-01202,2
ОРГ1-01797,2
ОРГ2-06867,1
ОРГ1-00520,2
ОРГ1-00910,2
ОРГ1-01560,2
ОРГ2-00067,0
ОРГ2-01629,2
ОРГ1-02934,2
ОРГ1-00784,2
ОРГ1-01617,2
ОРГ2-05211,0
ОРГ2-05087,2
ОРГ1-01377,1
ОРГ2-06851,1
ОРГ1-02202,0
ОРГ1-01856,2
ОРГ1-01472,2
ОРГ1-02850,0
ОРГ1-00713,2
ОРГ2-05928,0
ОРГ1-00948,3
